PING 10.0.0.15 (10.0.0.15) 56(84) bytes of data.
64 bytes from 10.0.0.15: icmp_seq=1 ttl=64 time=1.27 ms
64 bytes from 10.0.0.15: icmp_seq=2 ttl=64 time=0.281 ms
64 bytes from 10.0.0.15: icmp_seq=3 ttl=64 time=0.245 ms
64 bytes from 10.0.0.15: icmp_seq=4 ttl=64 time=0.251 ms
64 bytes from 10.0.0.15: icmp_seq=5 ttl=64 time=0.255 ms
64 bytes from 10.0.0.15: icmp_seq=6 ttl=64 time=0.293 ms
64 bytes from 10.0.0.15: icmp_seq=7 ttl=64 time=0.341 ms
64 bytes from 10.0.0.15: icmp_seq=8 ttl=64 time=0.269 ms
64 bytes from 10.0.0.15: icmp_seq=9 ttl=64 time=0.254 ms
64 bytes from 10.0.0.15: icmp_seq=10 ttl=64 time=0.225 ms
64 bytes from 10.0.0.15: icmp_seq=11 ttl=64 time=0.285 ms
64 bytes from 10.0.0.15: icmp_seq=12 ttl=64 time=0.382 ms
64 bytes from 10.0.0.15: icmp_seq=13 ttl=64 time=0.488 ms
64 bytes from 10.0.0.15: icmp_seq=14 ttl=64 time=0.257 ms
64 bytes from 10.0.0.15: icmp_seq=15 ttl=64 time=0.398 ms
64 bytes from 10.0.0.15: icmp_seq=16 ttl=64 time=0.419 ms
64 bytes from 10.0.0.15: icmp_seq=17 ttl=64 time=0.294 ms
64 bytes from 10.0.0.15: icmp_seq=18 ttl=64 time=0.363 ms
64 bytes from 10.0.0.15: icmp_seq=19 ttl=64 time=0.307 ms
64 bytes from 10.0.0.15: icmp_seq=20 ttl=64 time=0.307 ms
64 bytes from 10.0.0.15: icmp_seq=21 ttl=64 time=0.389 ms
64 bytes from 10.0.0.15: icmp_seq=22 ttl=64 time=0.450 ms
64 bytes from 10.0.0.15: icmp_seq=23 ttl=64 time=0.288 ms
64 bytes from 10.0.0.15: icmp_seq=24 ttl=64 time=0.613 ms
