PING 10.0.0.15 (10.0.0.15) 56(84) bytes of data.
64 bytes from 10.0.0.15: icmp_seq=1 ttl=64 time=21.3 ms
64 bytes from 10.0.0.15: icmp_seq=2 ttl=64 time=27.4 ms
64 bytes from 10.0.0.15: icmp_seq=3 ttl=64 time=2.59 ms
64 bytes from 10.0.0.15: icmp_seq=4 ttl=64 time=0.094 ms
64 bytes from 10.0.0.15: icmp_seq=5 ttl=64 time=0.259 ms
64 bytes from 10.0.0.15: icmp_seq=6 ttl=64 time=0.489 ms
64 bytes from 10.0.0.15: icmp_seq=7 ttl=64 time=0.338 ms
64 bytes from 10.0.0.15: icmp_seq=8 ttl=64 time=0.259 ms
64 bytes from 10.0.0.15: icmp_seq=9 ttl=64 time=0.409 ms
64 bytes from 10.0.0.15: icmp_seq=10 ttl=64 time=0.482 ms
64 bytes from 10.0.0.15: icmp_seq=11 ttl=64 time=0.272 ms
64 bytes from 10.0.0.15: icmp_seq=12 ttl=64 time=0.255 ms
64 bytes from 10.0.0.15: icmp_seq=13 ttl=64 time=0.221 ms
64 bytes from 10.0.0.15: icmp_seq=14 ttl=64 time=0.152 ms
64 bytes from 10.0.0.15: icmp_seq=15 ttl=64 time=0.238 ms
64 bytes from 10.0.0.15: icmp_seq=16 ttl=64 time=0.372 ms
64 bytes from 10.0.0.15: icmp_seq=17 ttl=64 time=0.449 ms
64 bytes from 10.0.0.15: icmp_seq=18 ttl=64 time=0.323 ms
64 bytes from 10.0.0.15: icmp_seq=19 ttl=64 time=0.298 ms
64 bytes from 10.0.0.15: icmp_seq=20 ttl=64 time=0.155 ms
64 bytes from 10.0.0.15: icmp_seq=21 ttl=64 time=0.115 ms
64 bytes from 10.0.0.15: icmp_seq=22 ttl=64 time=0.405 ms
64 bytes from 10.0.0.15: icmp_seq=23 ttl=64 time=0.133 ms
64 bytes from 10.0.0.15: icmp_seq=24 ttl=64 time=0.781 ms
64 bytes from 10.0.0.15: icmp_seq=25 ttl=64 time=0.340 ms
64 bytes from 10.0.0.15: icmp_seq=26 ttl=64 time=0.359 ms
64 bytes from 10.0.0.15: icmp_seq=27 ttl=64 time=0.420 ms
64 bytes from 10.0.0.15: icmp_seq=28 ttl=64 time=0.345 ms
64 bytes from 10.0.0.15: icmp_seq=29 ttl=64 time=0.359 ms
64 bytes from 10.0.0.15: icmp_seq=30 ttl=64 time=0.397 ms
64 bytes from 10.0.0.15: icmp_seq=31 ttl=64 time=0.381 ms
64 bytes from 10.0.0.15: icmp_seq=32 ttl=64 time=0.391 ms
64 bytes from 10.0.0.15: icmp_seq=33 ttl=64 time=0.451 ms
64 bytes from 10.0.0.15: icmp_seq=34 ttl=64 time=0.282 ms
64 bytes from 10.0.0.15: icmp_seq=35 ttl=64 time=0.256 ms
64 bytes from 10.0.0.15: icmp_seq=36 ttl=64 time=0.319 ms
64 bytes from 10.0.0.15: icmp_seq=37 ttl=64 time=0.577 ms
64 bytes from 10.0.0.15: icmp_seq=38 ttl=64 time=0.336 ms
64 bytes from 10.0.0.15: icmp_seq=39 ttl=64 time=0.089 ms
64 bytes from 10.0.0.15: icmp_seq=40 ttl=64 time=0.283 ms
64 bytes from 10.0.0.15: icmp_seq=41 ttl=64 time=0.298 ms
64 bytes from 10.0.0.15: icmp_seq=42 ttl=64 time=0.636 ms
64 bytes from 10.0.0.15: icmp_seq=43 ttl=64 time=0.306 ms
64 bytes from 10.0.0.15: icmp_seq=44 ttl=64 time=0.348 ms
64 bytes from 10.0.0.15: icmp_seq=45 ttl=64 time=0.465 ms
64 bytes from 10.0.0.15: icmp_seq=46 ttl=64 time=0.343 ms
64 bytes from 10.0.0.15: icmp_seq=47 ttl=64 time=0.115 ms
64 bytes from 10.0.0.15: icmp_seq=48 ttl=64 time=0.356 ms
64 bytes from 10.0.0.15: icmp_seq=49 ttl=64 time=0.473 ms
64 bytes from 10.0.0.15: icmp_seq=50 ttl=64 time=0.091 ms
64 bytes from 10.0.0.15: icmp_seq=51 ttl=64 time=0.483 ms
64 bytes from 10.0.0.15: icmp_seq=52 ttl=64 time=0.411 ms
64 bytes from 10.0.0.15: icmp_seq=53 ttl=64 time=0.263 ms
64 bytes from 10.0.0.15: icmp_seq=54 ttl=64 time=0.604 ms
64 bytes from 10.0.0.15: icmp_seq=55 ttl=64 time=0.268 ms
64 bytes from 10.0.0.15: icmp_seq=56 ttl=64 time=0.131 ms
64 bytes from 10.0.0.15: icmp_seq=57 ttl=64 time=0.496 ms
64 bytes from 10.0.0.15: icmp_seq=58 ttl=64 time=0.277 ms
64 bytes from 10.0.0.15: icmp_seq=59 ttl=64 time=0.642 ms
64 bytes from 10.0.0.15: icmp_seq=60 ttl=64 time=0.276 ms
64 bytes from 10.0.0.15: icmp_seq=61 ttl=64 time=0.370 ms
64 bytes from 10.0.0.15: icmp_seq=62 ttl=64 time=0.247 ms
64 bytes from 10.0.0.15: icmp_seq=63 ttl=64 time=0.234 ms
64 bytes from 10.0.0.15: icmp_seq=64 ttl=64 time=0.371 ms
64 bytes from 10.0.0.15: icmp_seq=65 ttl=64 time=0.382 ms
64 bytes from 10.0.0.15: icmp_seq=66 ttl=64 time=0.292 ms
64 bytes from 10.0.0.15: icmp_seq=67 ttl=64 time=0.435 ms
64 bytes from 10.0.0.15: icmp_seq=68 ttl=64 time=0.283 ms
64 bytes from 10.0.0.15: icmp_seq=69 ttl=64 time=0.398 ms
64 bytes from 10.0.0.15: icmp_seq=70 ttl=64 time=0.266 ms
64 bytes from 10.0.0.15: icmp_seq=71 ttl=64 time=0.555 ms
64 bytes from 10.0.0.15: icmp_seq=72 ttl=64 time=0.137 ms
64 bytes from 10.0.0.15: icmp_seq=73 ttl=64 time=0.442 ms
64 bytes from 10.0.0.15: icmp_seq=74 ttl=64 time=0.396 ms
64 bytes from 10.0.0.15: icmp_seq=75 ttl=64 time=0.139 ms
64 bytes from 10.0.0.15: icmp_seq=76 ttl=64 time=0.181 ms
64 bytes from 10.0.0.15: icmp_seq=77 ttl=64 time=0.150 ms
64 bytes from 10.0.0.15: icmp_seq=78 ttl=64 time=0.116 ms
64 bytes from 10.0.0.15: icmp_seq=79 ttl=64 time=0.228 ms
64 bytes from 10.0.0.15: icmp_seq=80 ttl=64 time=0.636 ms
64 bytes from 10.0.0.15: icmp_seq=81 ttl=64 time=0.397 ms
64 bytes from 10.0.0.15: icmp_seq=82 ttl=64 time=0.517 ms
64 bytes from 10.0.0.15: icmp_seq=83 ttl=64 time=0.297 ms
64 bytes from 10.0.0.15: icmp_seq=84 ttl=64 time=0.435 ms
64 bytes from 10.0.0.15: icmp_seq=85 ttl=64 time=0.254 ms
64 bytes from 10.0.0.15: icmp_seq=86 ttl=64 time=0.380 ms
64 bytes from 10.0.0.15: icmp_seq=87 ttl=64 time=0.248 ms
64 bytes from 10.0.0.15: icmp_seq=88 ttl=64 time=0.473 ms
64 bytes from 10.0.0.15: icmp_seq=89 ttl=64 time=0.410 ms
64 bytes from 10.0.0.15: icmp_seq=90 ttl=64 time=0.624 ms
64 bytes from 10.0.0.15: icmp_seq=91 ttl=64 time=0.248 ms
64 bytes from 10.0.0.15: icmp_seq=92 ttl=64 time=0.761 ms
64 bytes from 10.0.0.15: icmp_seq=93 ttl=64 time=0.276 ms
64 bytes from 10.0.0.15: icmp_seq=94 ttl=64 time=0.113 ms
64 bytes from 10.0.0.15: icmp_seq=95 ttl=64 time=0.334 ms
64 bytes from 10.0.0.15: icmp_seq=96 ttl=64 time=0.090 ms
64 bytes from 10.0.0.15: icmp_seq=97 ttl=64 time=0.539 ms
64 bytes from 10.0.0.15: icmp_seq=98 ttl=64 time=0.361 ms
64 bytes from 10.0.0.15: icmp_seq=99 ttl=64 time=0.395 ms
64 bytes from 10.0.0.15: icmp_seq=100 ttl=64 time=0.083 ms

--- 10.0.0.15 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 101568ms
rtt min/avg/max/mdev = 0.083/0.840/27.354/3.391 ms
